"PK","SK","__typename","clientID","clientSecretHash","createdAt","email","GSI1SK","id","isEmailVerify","partyID","password_hash","passwordHash","roleID","roleType","stylizedUserID","Type","updatedAt","username"
"PARTY|LINKLOOK","USER|สมชาย","USER","","","2022-08-15T09:34:01.106Z","","PARTY|LINKLOOK","El6uk6vurCpkjR","","LINKLOOK","","$2b$10$eLHSnLr4ePXF9yx8Rwnw9.Dj6uXAdkAInNwAOXpV.VLVeHM6NU7dm","asdpok","MEMBER","สมชาย","USER","2022-08-15T09:34:01.106Z","สมชาย"
"PARTY|DATABILITY","CLIENT|LINKLOOK","Client","LINKLOOK","$2a$12$U0KZpeJGhjt0GhT2GZvr.ee9IofpVXLbjNz1eznX74VLBtgT6u3KG","","","","","","DATABILITY","","","","","","Client","",""
"PARTY|DATABILITY","USER|1","USER","","","2022-07-26T02:57:12.831Z","","PARTY|DATABILITY","El61l7k0oJ0g4v","","DATABILITY","","$2b$10$7PBKEEEwxrPLsHf1ybSuMeiVn7h6YNyM7RXCjR1XbxshFrAU2dQVG","asdpok","MEMBER","1","USER","2022-07-26T02:57:12.831Z","1"
"PARTY|DATABILITY","USER|10001","USER","","","2022-07-11T10:47:58.854Z","10001@gmail.com","PARTY|DATABILITY","10001","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","10001","USER","2022-07-11T10:47:58.854Z","10001"
"PARTY|DATABILITY","USER|10002","USER","","","2022-07-11T10:47:58.854Z","10002@gmail.com","PARTY|DATABILITY","10002","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","10002","USER","2022-07-11T10:47:58.854Z","10002"
"PARTY|DATABILITY","USER|10003","USER","","","2022-07-11T10:47:58.854Z","10003@gmail.com","PARTY|DATABILITY","10003","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","10003","USER","2022-07-11T10:47:58.854Z","10003"
"PARTY|DATABILITY","USER|10004","USER","","","2022-07-11T10:47:58.854Z","10004@gmail.com","PARTY|DATABILITY","10004","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","10004","USER","2022-07-11T10:47:58.854Z","10004"
"PARTY|DATABILITY","USER|10005","USER","","","2022-07-11T10:47:58.854Z","10005@gmail.com","PARTY|DATABILITY","10005","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","10005","USER","2022-07-11T10:47:58.854Z","10005"
"PARTY|DATABILITY","USER|10006","USER","","","2022-07-11T10:47:58.854Z","10006@gmail.com","PARTY|DATABILITY","10006","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","10006","USER","2022-07-11T10:47:58.854Z","10006"
"PARTY|DATABILITY","USER|10007","USER","","","2022-07-11T10:47:58.854Z","10007@gmail.com","PARTY|DATABILITY","10007","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","10007","USER","2022-07-11T10:47:58.854Z","10007"
"PARTY|DATABILITY","USER|10008","USER","","","2022-07-11T10:47:58.854Z","10008@gmail.com","PARTY|DATABILITY","10008","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","10008","USER","2022-07-11T10:47:58.854Z","10008"
"PARTY|DATABILITY","USER|10009","USER","","","2022-07-11T10:47:58.854Z","10009@gmail.com","PARTY|DATABILITY","10009","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","10009","USER","2022-07-11T10:47:58.854Z","10009"
"PARTY|DATABILITY","USER|20001","USER","","","2022-07-11T10:47:58.854Z","20001@gmail.com","PARTY|DATABILITY","20001","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","20001","USER","2022-07-11T10:47:58.854Z","20001"
"PARTY|DATABILITY","USER|20002","USER","","","2022-07-11T10:47:58.854Z","20002@gmail.com","PARTY|DATABILITY","20002","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","20002","USER","2022-07-11T10:47:58.854Z","20002"
"PARTY|DATABILITY","USER|20003","USER","","","2022-07-11T10:47:58.854Z","20003@gmail.com","PARTY|DATABILITY","20003","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","20003","USER","2022-07-11T10:47:58.854Z","20003"
"PARTY|DATABILITY","USER|20004","USER","","","2022-07-11T10:47:58.854Z","20004@gmail.com","PARTY|DATABILITY","20004","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","20004","USER","2022-07-11T10:47:58.854Z","20004"
"PARTY|DATABILITY","USER|20005","USER","","","2022-07-11T10:47:58.854Z","20005@gmail.com","PARTY|DATABILITY","20005","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","20005","USER","2022-07-11T10:47:58.854Z","20005"
"PARTY|DATABILITY","USER|20006","USER","","","2022-07-11T10:47:58.854Z","20006@gmail.com","PARTY|DATABILITY","20006","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","20006","USER","2022-07-11T10:47:58.854Z","20006"
"PARTY|DATABILITY","USER|20007","USER","","","2022-07-11T10:47:58.854Z","20007@gmail.com","PARTY|DATABILITY","20007","","DATABILITY","","$2a$12$woQAY/D0eyNNXIj0Xo/o6.dVY88J0VSJBRGZPyGZAVBVGdLjyHq3S","asdpok","MEMBER","20007","USER","2022-07-11T10:47:58.854Z","20007"
"PARTY|DATABILITY","USER|ADMIN_DAB_KAT","USER","","","2022-07-11T10:47:58.854Z","admin01_DATABILITY@live.com","PARTY|DATABILITY","ADMIN_DAB_KAT","","DATABILITY","","$2a$12$qU/Ob5Zf.DGQD4UkjCuGAuAxWqj9vMe8hGyf82O1ktoMC4GQDCmhK","asdpok","ADMIN","ADMIN","USER","2022-07-11T10:47:58.854Z","ADMIN_DAB_KAT"
"PARTY|DATABILITY","USER|DATABILITY_ADMIN","USER","","","2022-07-11T10:47:58.854Z","DATABILITY_ADMIN@live.com","PARTY|DATABILITY","DATABILITY_ADMIN","","DATABILITY","","$2a$12$qU/Ob5Zf.DGQD4UkjCuGAuAxWqj9vMe8hGyf82O1ktoMC4GQDCmhK","asdpok","ADMIN","ADMIN","USER","2022-07-11T10:47:58.854Z","datability_admin"
"PARTY|ONE_AUTH_TEST","USER|TEST","USER","","","2022-08-19T05:54:14.336Z","test","PARTY|ONE_AUTH_TEST","test","false","ONE_AUTH_TEST","","$2b$10$0k3Zdwm2KIyWRkVg3uCB0OTgHIZVhzXrGspPRcY12j2oDTYncEi.K","182b4aa94c0","ADMIN","ADMIN","USER","2022-08-19T05:54:14.336Z","test"
"PARTY|FANDOM","CLIENT|J6grV6qHpK","Client","J6grV6qHpK","$2a$12$kCIHGZCWTFb8PBIB7MysQuBT9nMZ9/60IEx31FSGtDKRCWkN5zgBW","","","","","","FANDOM","","","","","","Client","",""
"PARTY|FANDOM","USER|ADMIN","User","","","","","","admin","","FANDOM","","$2a$12$iaoNNLfNEJvxRrI6.gb.S.zPw6v81GSGqMcMk1BEIeRRvIlPPMzwC","R01","ADMIN","admin","User","","admin"
"PARTY|FANDOM","USER|KNIGHTH","USER","","","2022-02-16T19:43:44.797Z","thanapapapaa@gmail.com","PARTY|FANDOM","U0123456","","","$2b$10$4FIt9.mcUF8ab9mWwIeapOcLhpQ3wmPYgNCb8iKxQSLYqyHoRBSeu","","asdpok","ADMIN","knighth","USER","2022-02-16T19:43:44.797Z","knighth"
